SK_ID_CURR,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,CNT_FAM_MEMBERS,DAYS_BIRTH,NAME_INCOME_TYPE,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,NAME_CONTRACT_TYPE,OCCUPATION_TYPE,ORGANIZATION_TYPE,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,REGION_POPULATION_RELATIVE,REGION_RATING_CLIENT,WEEKDAY_APPR_PROCESS_START,NAME_TYPE_SUITE,FONDKAPREMONT_MODE,HOUSETYPE_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,TARGET
1,M,N,N,1,2,-14526,Pensioner,365243,26840829,122266662,10488756,133969738,Incomplete higher,Married,House / apartment,Cash loans,Core staff,XNA,-3965,-5904,,1,1,0,1,0,0,0.07734281936756944,2,TUESDAY,Family,org spec account,nan,Panel,nan,0
2,F,Y,Y,1,2,-19901,Working,-569,33953212,67001188,7950564,63269571,Secondary / secondary special,Civil marriage,House / apartment,Cash loans,Managers,Other,-7075,-6423,19.571605967841073,1,1,1,1,0,1,0.026735985426775445,1,TUESDAY,Unaccompanied,reg oper spec account,nan,Mixed,No,0
3,F,Y,Y,4,5,-17350,Unemployed,365243,11498066,67031420,34751277,72697015,Incomplete higher,Married,House / apartment,Cash loans,Accountants,Business Entity Type 3,-319,-3274,7.250161318643248,1,1,1,1,1,0,0.07253427066945957,1,SATURDAY,Family,nan,terraced house,Panel,No,1
4,F,N,Y,0,1,-11083,Commercial associate,-8090,55841272,152107081,33205118,166528377,Secondary / secondary special,Single / not married,House / apartment,Revolving loans,Drivers,Medicine,-4308,-261,,1,0,0,1,0,1,0.002150714368360052,2,MONDAY,Unaccompanied,org spec account,block of flats,"Stone, brick",No,1
5,M,N,Y,1,2,-22442,Working,-2053,36966216,369662160,80697596,399621740,Secondary / secondary special,Single / not married,House / apartment,Cash loans,Security staff,Medicine,-9038,-2044,,1,1,1,1,1,1,0.051586275754201875,2,THURSDAY,Unaccompanied,reg oper account,nan,Mixed,No,1
6,M,N,N,2,3,-7878,Pensioner,365243,8732900,85479568,13785991,79344858,Secondary / secondary special,Widow,House / apartment,Cash loans,Laborers,Self-employed,-5252,-5059,,1,1,1,1,1,0,0.016481831477856892,2,FRIDAY,Unaccompanied,nan,nan,"Stone, brick",No,1
7,M,Y,N,2,3,-15818,Commercial associate,-1684,26056709,109484940,7619622,119150663,Secondary / secondary special,Single / not married,House / apartment,Cash loans,nan,XNA,-7470,-2343,3.8060229434134776,1,1,1,1,0,1,0.023646283328877294,2,WEDNESDAY,Unaccompanied,nan,block of flats,nan,No,1
8,F,N,Y,1,3,-11003,Commercial associate,-710,103270811,283714296,33666401,298341963,Secondary / secondary special,Married,House / apartment,Revolving loans,Accountants,Government,-7647,-5820,,1,1,0,1,1,1,0.0302689998281949,3,TUESDAY,Unaccompanied,reg oper account,block of flats,Block,No,1
9,F,N,N,2,4,-8091,Working,-2053,45354733,90605893,31859293,88100529,Higher education,Civil marriage,House / apartment,Cash loans,Security staff,Business Entity Type 3,-3311,-185,,1,1,0,1,1,1,0.03085237743068149,2,THURSDAY,Unaccompanied,org spec account,nan,"Stone, brick",nan,1
10,F,N,Y,0,2,-9638,Working,-1116,24739816,166348403,86240445,164862685,Secondary / secondary special,Single / not married,With parents,Cash loans,Core staff,Trade: type 7,-3950,-6079,,1,1,0,1,1,1,0.0291204517067856,2,SUNDAY,Children,nan,nan,"Stone, brick",No,1
